Store designated "clear GRF" value , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 14
Loop count to delay kernel: Init to (g1.2 + 1) , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 39
g3 has HSID , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 50
g3.1 has sliceID , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 52
g3 = sliceID  SubSlicePerSliceCount + HSID , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 54
g3.2 = EUID , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 56
g3.2 now points to EU row number (Y-pixel = V address )  in instrumentation surf , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 58
Initialize message header with g0 , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 64
Block offset , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 65
Block offset , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 66
Block size (1 row x 4 bytes) , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 67
Media block read to fetch current value at specified location in instrumentation buffer , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 70
Media block write for updated value at specified location in instrumentation buffer , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 76
Delay thread for specified parameter , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 80
Store designated "clear GRF" value , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 84
Initialize looping parameters , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 87
Initialize a0.0:w=0 , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 88
Loop count. Each loop contains 16 GRF's , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 89
Write 32x16 all "0" block , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 91
Block size (16x16) , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 95
Now, clear all GRF registers , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 111
Terminante the thread , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/hsw.asm: 117
Store designated "clear GRF" value , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/ivb.asm: 14
Loop count to delay kernel: Init to (g1.2 + 1) , /home/luyang/Documents/linux/drivers/gpu/drm/i915/gt/shaders/clear_kernel/ivb.asm: 39
