SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_midi.c: 1
snd_seq_oss_midi_close(dp, dev);, /Users/rubber/linux/sound/core/seq/oss/seq_oss_midi.c: 488
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_rw.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_writeq.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_timer.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_readq.c: 1
#define SNDRV_SEQ_OSS_MAX_TIMEOUT	(unsigned long)(-1), /Users/rubber/linux/sound/core/seq/oss/seq_oss_readq.c: 20
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_event.c: 1
if (! vel), /Users/rubber/linux/sound/core/seq/oss/seq_oss_event.c: 293
	type = SNDRV_SEQ_EVENT_NOTEOFF;, /Users/rubber/linux/sound/core/seq/oss/seq_oss_event.c: 295
else, /Users/rubber/linux/sound/core/seq/oss/seq_oss_event.c: 296
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_ioctl.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_init.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/seq/oss/seq_oss_synth.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/oss/pcm_oss.c: 1
it won't be probably implemented, /Users/rubber/linux/sound/core/oss/pcm_oss.c: 2304
pr_debug("TODO: snd_pcm_oss_get_mapbuf\n");, /Users/rubber/linux/sound/core/oss/pcm_oss.c: 2305
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/core/oss/mixer_oss.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/es18xx.c: 1
Leaving I2S enabled on the 1879 screws up the PCM playback (rate effected somehow), /Users/rubber/linux/sound/isa/es18xx.c: 1506
so a Switch control has been added to toggle this 0x71 bit onoff:, /Users/rubber/linux/sound/isa/es18xx.c: 1507
snd_es18xx_mixer_bits(chip, 0x71, 0x40, 0x40);, /Users/rubber/linux/sound/isa/es18xx.c: 1508
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sscape.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/azt2320.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/als100.c: 1
SPDX-License-Identifier: GPL-2.0-only, /Users/rubber/linux/sound/isa/cmi8328.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/opl3sa2.c: 1
SL Added, /Users/rubber/linux/sound/isa/opl3sa2.c: 40
initialise this card from supplied (or default) parameter , /Users/rubber/linux/sound/isa/opl3sa2.c: 641
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/cmi8330.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sc6000.c: 1
SPDX-License-Identifier: GPL-2.0-only, /Users/rubber/linux/sound/isa/adlib.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/emu8000_synth.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/sb8_midi.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/sb16.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/sb8_main.c: 1
restore output filter and set hardware to mono mode  , /Users/rubber/linux/sound/isa/sb/sb8_main.c: 215
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/sb16_main.c: 1
printk(KERN_DEBUG "codec->irq=%i, codec->dma8=%i, codec->dma16=%i\n", chip->irq, chip->dma8, chip->dma16);, /Users/rubber/linux/sound/isa/sb/sb16_main.c: 736
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/emu8000_callback.c: 1
ignored, /Users/rubber/linux/sound/isa/sb/emu8000_callback.c: 490
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/sb16_csp.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/sb_mixer.c: 1
SPDX-License-Identifier: GPL-2.0-or-later, /Users/rubber/linux/sound/isa/sb/emu8000_pcm.c: 1
chorus, /Users/rubber/linux/sound/isa/sb/emu8000_pcm.c: 307
filterQ, /Users/rubber/linux/sound/isa/sb/emu8000_pcm.c: 311
reverb, /Users/rubber/linux/sound/isa/sb/emu8000_pcm.c: 336
